Band,ATY or Chick,Site,Burrow,Date Measured,New Band or Recapture,Mass (g),Wing Chord (mm),Tarsus Length (mm),Known Sex,Blood for PCR?,PCR Sex,Feathers Collected?,Notes
"R: 246109043, L:140163406",ATY,Ditch,5,7/4/23,Recapture,51.8,160,24.4,Female,No,,No,
140167029,ATY,Ditch,13,6/17/23,Recapture,51.2,161,24.3,N/A,Yes,,Yes,
308102513,ATY,Ditch,13,6/22/23,New Band,50,155,25.3,N/A,No,,Yes,
246109482,ATY,Ditch,24,6/28/23,Recapture,47.1,158,23.8,N/A,No,,No,
246110503,ATY,Ditch,24,7/13/23,Recapture,51.3,161,25.9,N/A,No,,No,
246110523,ATY,Ditch,33,6/17/23,Recapture,49.4,166,24.3,N/A,Yes,,Yes,
308102512,ATY,Ditch,33,6/22/23,New Band,42.4,160,23.9,N/A,No,,Yes,
246110562,ATY,Ditch,34,6/13/23,Recapture,47.5,164,25.8,N/A,Yes,,Yes,
308102507,ATY,Ditch,34,6/17/23,New Band,50.2,163,23.9,N/A,No,,Yes,
246109189,ATY,Ditch,36,6/22/23,Recapture,53.7,156,24.8,N/A,Yes,M,No,
246110524,ATY,Ditch,36,6/28/23,Recapture,50.3,160,24.2,N/A,Yes,F,No,PCR on 7/8
140167042,ATY,Ditch,40,6/13/23,Recapture,48,162,25,Female,No,,Yes,
140167062,ATY,Ditch,40,6/22/23,Recapture,45,152,24.6,N/A,No,,Yes,
790118846,ATY,Ditch,53,6/17/23,Recapture,51,166,24.5,N/A,Yes,,Yes,
246110565,ATY,Ditch,53,6/22/23,Recapture,48.1,160,23.2,N/A,No,,Yes,
308102558,ATY,Ditch,56,7/13/23,New Band,43.3,158,23.9,N/A,No,,No,
246109498,ATY,Ditch,62,6/21/23,Recapture,48.4,150,24.5,N/A,Yes,M,No,
246110527,ATY,Ditch,62,7/13/23,Recapture,51.5,156,24.6,N/A,No,,No,Probable F
308102563,ATY,Ditch,64,7/22/23,New Band,47.3,157,24.6,N/A,No,,No,
246109389,ATY,Ditch,68,6/17/23,Recapture,54.5,159,25.2,N/A,Yes,,Yes,
246109483,ATY,Ditch,68,6/22/23,Recapture,56.1,155,24.1,N/A,No,,Yes,
308102511,ATY,Ditch,74,6/22/23,New Band,41.6,156,24.6,N/A,Yes,F,No,
140163381,ATY,Ditch,74,7/4/23,Recapture,48.5,150,25.2,N/A,Yes,M,No,PCR on 7/8
246109078,ATY,Ditch,75,6/17/23,Recapture,42.7,160,24.2,N/A,Yes,,Yes,
246108821,ATY,Ditch,75,6/22/23,Recapture,46.9,163,23.3,Male,No,,Yes,
170115289,ATY,Ditch,79,7/22/23,Recapture,44.6,163,24.7,N/A,No,,No,
140163382,ATY,Ditch ,89,6/6/23,Recapture,50,164,24.4,N/A,Yes,,Yes,
246109059,ATY,Ditch,89,6/17/23,Recapture,47.1,158,23.4,N/A,No,,Yes,
790118603,ATY,Ditch,100,6/2/23,Recapture,50.5,160,25,N/A,Yes,,Yes,Added RFID tag 7/8
140167067,ATY,Ditch,100,6/12/23,Recapture,49.4,164,24.2,N/A,Yes,,Yes,
308102561,ATY,Shire,134,7/21/23,New Band,47.8,156,24.5,N/A,No,,No,
246109158,ATY,Shire,155,6/29/23,Recapture,54.7,158,23,N/A,No,,No,July 8 2023 added RFID tag 0620000BA6 
246109151,ATY,Shire,155,7/5/23,Recapture,43.2,155,23.6,N/A,No,,No,July 12 2023 added RFID tag 0620000B49
246108831,ATY,Shire,163,6/26/23,Recapture,40.2,160,24.4,Male,No,,No,
140167085,ATY,Shire,163,6/30/23,Recapture,43.8,165,24,Female,No,,No,
246109029,ATY,Shire,165,6/15/23,Recapture,46.9,162,25.1,N/A,Yes,F,No,
246109187,ATY ,Shire,166,7/12/23,Recapture,48.3,158,23.2,N/A,No,,No,
246109469,ATY,Shire,166,7/14/23,Recapture,55.6,157,24.5,N/A,No,,No,
140181554,ATY,Shire,175,6/20/23,Recapture,didn’t measure because no egg,didn’t measure because no egg,didn’t measure because no egg,didn’t measure because no egg,No,,No,
246110574,ATY,Shire,176,7/21/23,Recapture,48.1,155,24.4,N/A,No,,No,
790118685,ATY,Shire,185,6/5/23,Recapture,42.5,159,22.3,Male,No,,No,July 12 2023 added RFID tag 0620000DD3
790118897,ATY,Shire,185,6/9/23,Recapture,49.2,166,23.4,Female,No,,No,July 11 2023 added RFID tag 0620000ABC
246109481,ATY,Ditch,201,7/4/23,Recapture,45.9,158,24.7,N/A,Yes,M,No,PCR on 7/8
246109460,ATY,Ditch,201,7/7/23,Recapture,45.9,160,23.3,N/A,No,,No,
246110550,ATY,Ditch,204,6/12/23,Recapture,52.8,160,25.9,N/A,Yes,,Yes,
246110556,ATY,Ditch,204,6/16/23,Recapture,47.8,157,24.3,N/A,No,,Yes,
246109036,ATY,Ditch,207,6/16/23,Recapture,46.7,161,24,N/A,Yes,,Yes,
140163396,ATY,Ditch,207,6/27/23,Recapture,52.5,161,25,Female,No,,Yes,
790118862,ATY,Ditch,209,6/2/23,Recapture,43.2,164,24.6,N/A,Yes,F,No,
140167058,ATY,Ditch,209,6/21/23,Recapture,51.8,154,23.9,N/A,Yes,M,No,
308102528,ATY,Ditch,212,7/4/23,New Band,45.8,156,23.9,N/A,Yes,F,No,
140163368,ATY,Ditch,212,7/14/23,Recapture,53.6,153,23.6,N/A,No ,,No,
246110561,ATY,Ditch,214,6/16/23,Recapture,49.5,156,25.1,N/A,Yes,,Yes,
790111029,ATY,Ditch,214,6/21/23,Recapture,50.2,160,24.4,Male,No,,Yes,
790118831,ATY,Ditch,215,6/28/23,Recapture,44.1,160,23.2,Male,No,,No,
308102533,ATY,Ditch,215,7/7/23,New Band,50.9,155,26.3,N/A,Yes,F,No,"Partner known male, PCR on 7/8"
246110546,ATY,Ditch,224,6/17/23,Recapture,56.5,169,23.9,N/A,Yes,,Yes,
140163409,ATY,Ditch,224,6/28/23,Recapture,44.6,155,24,N/A,No,,Yes,
246109490,ATY,Ditch,230,6/16/23,Recapture,44.8,163,23.6,N/A,Yes,,Yes,
246109164,ATY,Ditch,230,6/21/23,Recapture,48.4,159,23.7,N/A,Yes,,Yes,
246108805,ATY,Ditch,233,6/12/23,Recapture,46.5,157,25.1,N/A,Yes,,Yes,
246109303,ATY,Ditch,233,6/16/23,Recapture,53.1,159,23.8,N/A,No,,Yes,
790111011,ATY,Ditch,239,6/28/23,Recapture,50.1,155,25.8,Male,No,,No,
246109140,ATY,Ditch,239,7/3/23,Recapture,53.4,158,23.7,Female,No,,No,
246109484,ATY,Ditch,243,7/22/23,Recapture,52.4,158,23.7,N/A,No,,No,
308102562,ATY,Ditch,246,7/22/23,New Band,48.8,154,24.7,N/A,No,,No,
246108826,ATY,Ditch,254,6/21/23,Recapture,48.8,159,24.2,N/A,Yes,M,No,
246109167,ATY,Ditch,254,6/28/23,Recapture,23.1,163,24.3,Female,No,,No,
246109154,ATY,Ditch,257,7/13/23,Recapture,48,156,23.4,Female,No,,No,
246110515,ATY,Ditch,257,7/15/23,Recapture,50.9,157,24.5,N/A,No,,No,
246109142,ATY,Ditch,264,6/21/23,Recapture,51.5,160,23.5,Male,No,,Yes,
246110516,ATY,Ditch,264,7/7/23,Recapture,46.1,164,24.8,N/A,No,,Yes,
246109479,ATY,Ditch,266,6/17/23,Recapture,46.6,154,24.3,N/A,Yes,,Yes,
246110510,ATY,Ditch,266,7/3/23,Recapture,43.8,165,24.2,N/A,No,,No,
246110548,ATY,Ditch,271,6/13/23,Recapture,43.2,163,23.9,N/A,Yes,F,No,
246110557,ATY,Ditch,271,6/16/23,Recapture,46.9,156,24.4,N/A,Yes,M,No,
246109172,ATY,Shire,273,5/31/23,Recapture,Scale not working,158,24.9,N/A,No,,No,
246110502,ATY,Ditch,273,6/12/23,Recapture,44,156,23.2,N/A,Yes,,Yes,
246108994,ATY,Ditch,273,6/16/23,Recapture,49,159,25.7,N/A,No,,Yes,
246109327,ATY,Shire,273,6/19/23,Recapture,42.3,158,24.3,N/A,Yes,M,No,
246109488,ATY,Ditch,287,7/3/23,Recapture,40.3,157,23.4,N/A,Yes,M,No,PCR on 7/8
246110508,ATY,Ditch,287,7/7/23,Recapture,42.4,157,25.3,N/A,No,,No,
246110549,ATY,Ditch,288,6/21/23,Recapture,51.2,159,24.1,N/A,Yes,,Yes,
246110545,ATY,Ditch,290,6/16/23,Recapture,49.4,155,24.1,N/A,Yes,,Yes,
246110538,ATY,Ditch,290,6/21/23,Recapture,46.8,159,24.8,N/A,No,,Yes,
140163408,ATY,Ditch,297,6/27/23,New Band,44,154,23.2,,No,,Yes,
140163416,ATY,Ditch,297,6/29/23,Recapture,52.5,157,25.2,N/A,Yes,,Yes,
790118815,ATY,Ditch,299,6/12/23,Recapture,45,158,24.6,N/A,Yes,,Yes,
246109273,ATY,Ditch,299,6/16/23,Recapture,44.9,163,25.1,N/A,No,,Yes,
140163407,ATY,Ditch,302,6/13/23,Recapture,47.2,168,24.6,Male,No,,Yes,
308102560,ATY,Ditch,302,7/15/23,New Band,50.3,161,23.4,N/A,No,,No,
246109146,ATY,Ditch,310,6/22/23,Recapture,46.7,155,24.2,Female,No,,No,
140167031,ATY,Ditch,310,7/4/23,Recapture,44.2,162,24,Male,No,,No,
308102519,ATY,Ditch,314,6/28/23,New Band,47.3,163,24.5,N/A,Yes,M,No,
308102535,ATY,Ditch,314,7/11/23,New Band,42.2,160,22.8,N/A,No,,No,
308102521,ATY,Ditch,317,6/28/23,New Band,43.5,159,22,N/A,No,,No,
246110519,ATY,Ditch,327,6/12/23,Recapture,48.7,163,24.4,N/A,Yes,,Yes,
246109157,ATY,Ditch,327,6/16/23,Recapture,50.9,157,24.5,Male,No,,Yes,
246109457,ATY,Ditch,328,6/12/23,Recapture,49,160,25.2,N/A,Yes,,Yes,
246109471,ATY,Ditch,328,6/16/23,Recapture,49.5,155,22.2,N/A,No,,Yes,
140167097,ATY,Ditch,330,6/27/23,Recapture,47.4,157,23.2,N/A,Yes,,Yes,
246110540,ATY,Ditch,331,6/21/23,Recapture,39.1,155,24.2,N/A,Yes,F,No,PCR on 7/8
246109080,ATY,Ditch,340,6/13/23,Recapture,42.2,158,24.1,N/A,Yes,,Yes,
246109480,ATY,Ditch,340,6/17/23,Recapture,44.4,156,25.6,N/A,No,,Yes,
246110539,ATY,Ditch,343,6/21/23,Recapture,50.5,157,24.4,N/A,Yes,,Yes,
140181882,ATY,Ditch,343,6/29/23,Recapture,49.5,162,24.4,Female,No,,Yes,
246110547,ATY,Ditch,344,7/22/23,Recapture,46.5,163,24.7,N/A,No,,No,
140167106,ATY,Shire,504,6/10/23,Recapture,47,160,23.2,Female,No,,No,
Left: 140180426; Right: 140180425,ATY,Shire,504,6/15/23,Recapture,44.1,161,23.4,Male,No,,No,
140167012,ATY,Shire,513,6/9/23,Recapture,46.1,160,25.6,N/A,Yes,M,No,
246109185,ATY,Shire,513,6/14/23,Recapture,42.1,163,24.4,N/A,Yes,F,No,
308102509,ATY,Shire,514,6/19/23,New Band,54,161,25,N/A,Yes,F,No,
140163498,ATY,Shire,514,6/24/23,Recapture,49.8,154,23.8,N/A,No,,No,
790111390,ATY,Shire,518,6/14/23,Recapture,49.9,160,25.1,Male,No,,No,
246110554,ATY,Shire,518,6/19/23,Recapture,45.5,158,24.7,N/A,Yes,F,No,
140163354,ATY ,Shire,519,6/26/23,Recapture,51.5,157,24.7,N/A,No,,No,
140167059,ATY ,Shire,519,7/10/23,Recapture,44.5,160,22.8,N/A,Yes,M,No,
246109492,ATY,Ditch,557,6/16/23,Recapture,46.3,155,24.6,N/A,Yes,,Yes,
790118854,ATY,Ditch,557,6/21/23,Recapture,47.6,161,24.8,N/A,No,,Yes,
140163376,ATY,Shire,602,6/19/23,Recapture,50.3,161,23.7,N/A,Yes,M,No,
246109155,ATY,Shire,602,7/5/23,Recapture,48.2,155,23.8,N/A,No,,No,
308102502,ATY,Shire,607,6/8/23,New band,42.5,155,23,N/A,Yes,M,No,
246108823,ATY ,Shire,607,7/10/23,Recapture,45.3,153,23.2,Female,Yes (control),F,No,
246108711,ATY,Shire,608,6/8/23,Recapture,47.8,164,21.4,Female,No,,No,
140163351,ATY,Shire,610,6/9/23,Recapture,48.4,157,23.7,Female,No,,No,July 13 2023 added RFID tag 0620000D4E
790111098,ATY,Shire,610,6/15/23,Recapture,48.4,157,24.1,Male,No,,No,July 10 2023 added RFID tag 0620000C41
246109455,ATY,Shire,620,6/8/23,Recapture,45.1,159,23.6,N/A,Yes,F,No,
246109307,ATY,Shire,620,6/29/23,Recapture,50.5,160,22.8,N/A,No,,No,
246109308,ATY,Shire,621,7/6/23,Recapture,47,155,23.4,N/A,Yes,M,No,
140163423,ATY,Shire,621,7/10/23,Recapture,53.7,158,24,Female,No,,No,
246109310,ATY,Shire,623,5/31/23,Recapture,50.5,162,23.6,N/A,No,,No,
246110555,ATY,Shire,648,7/5/23,Recapture,47.7,160,23.6,N/A,No,,No,
790118601,ATY,Shire,648,7/10/23,Recapture,54.5,160,23.5,N/A,No,,No,
246108902,ATY,Shire,651,6/29/23,Recapture,50.7,153,23.2,N/A,No,,No,
246109456,ATY,Shire,651,7/5/23,Recapture,49,155,24.5,N/A,No,,No,
246108706,ATY,Shire,655,6/8/23,Recapture,52.6,157,25.1,N/A,Yes,M,No,
790111393,ATY,Shire,655,6/14/23,Recapture,50.9,158,24,Female,No,,No,
246110511,ATY,Shire,656,6/8/23,Recapture,41.7,162,24.4,N/A,Yes,F,No,
246110533,ATY,Shire,663,6/20/23,Recapture,45.8,160,20.6,N/A,No,,No,
140176361,ATY,Shire,670,6/19/23,Recapture,42,155,22.9,Female,No,,No,
246109453,ATY,Shire,670,6/24/23,Recapture,49.5,164,24,N/A,No,,No,
246108721,ATY,Shire,679,6/10/23,Recapture,39.5,159,23,N/A,Yes,F,No,
Left: 140167089; Right: 127184197,ATY,Shire,679,6/15/23,Recapture,43,153,24.2,Male,No,,No,
140176396,ATY,Shire,683,6/30/23,Recapture,47.7,155,21.5,Male,No,,No,
246110571,ATY,Shire,683,7/6/23,Recapture,44,159,24,N/A,Yes,F,No,
246109454,ATY,Shire,688,6/26/23,Recapture,43.7,154,24.3,N/A,Yes,F,No,
790110881,ATY,Shire,688,7/8/23,Recapture,54.7,156,24.1,Male,No,,No,
140163346,ATY,Shire,689,6/20/23,Recapture,43.4,153,22,Male,No,,No,
308102515,ATY,Shire,689,6/26/23,New Band,41.4,158,25.1,N/A,No,,No,
140163345,ATY,Shire,691,6/20/23,Recapture,42,154,25,Female…,No,,No,
308102516,ATY,Shire,692,6/26/23,New Band,44.4,159,23.8,N/A,No,,No,
