Band,Sex,Notes
111102853,F,
111107165,F,
111107685,F,
111115355,F,
111115385,F,
111117031,F,
111117061,F,
111117097,F,
111117213,F,
111117795,F,
111117799,F,
111117849,F,
111117877,F,
111117887,F,
111118213,F,
111118843,F,
111118849,F,
111119495,F,
111122504,F,
111122507,F,
111122518,F,
111122523,F,
111123201,F,
111123215,F,
111123224,F,
111123230,F,
111123231,F,
111123235,F,
111123424,F,
111123568,F,
111123817,F,
111123829,F,
111123849,F,
111123881,F,
111123882,F,
111123884,F,
111124211,F,
111124212,F,
111124232,F,
111124233,F,
111124317,F,
111124319,F,
111124352,F,
111124510,M,
111124522,F,
111124528,F,
111124583,F,
111124586,F,
111124600,F,
111124702,F,
111124918,F,
111125001,F,
111125004,F,
111125019,F,
111125020,F,
111125050,F,
111125119,F,
111125142,F,
111125150,F,
111125152,F,
111125168,F,
111125179,F,
111125593,M,
111125651,F,
111125655,F,
111125658,F,
111125661,F,
111125704,F,
111125716,F,
111125730,F,
111125731,F,
111125735,F,
111125759,F,
111125915,F,
111125922,F,
111125925,F,
111125946,F,
111125958,M,
111125960,M,
111126306,F,
111126312,M,
111126375,F,
111126376,F,
111126378,F,
111126380,F,
111126384,F,
111126568,F,
111126605,F,
111126606,F,
111126608,F,
111126613,F,
111126626,F,
111126630,F,
111126631,F,
111126632,F,
111126635,F,
111126636,F,
111126641,F,
111126642,F,
111126700,F,
111126835,F,
111126843,F,
111126847,F,
111126853,F,
115118324,M,
121184195,F,
126104010,F,
126104023,F,
126104062,M,
126104170,M,
126104399,F,
126104487,F,
126104593,M,
126104611,F,
126104747,F,
126104787,F,
126105835,F,
126105867,F,
126106005,F,
126106108,F,
126106299,F,
126106363,F,
126106368,F,
126106370,M,
126106386,F,
126106751,F,
126106877,F,
126106933,F,
126107065,F,
126107345,F,
126107379,F,
126107411,F,
126107507,F,
126107509,F,
126107571,F,
126107573,F,
126107579,F,
126107629,F,
126107637,F,
126107693,F,
126107783,F,
126107849,F,
126107933,F,
126108601,F,
126108605,F,
126108613,F,
126108681,F,
126108767,F,
126108775,F,
126109309,F,
126109311,F,
126109319,F,
126109331,F,
126109335,F,
126109339,F,
126109355,F,
126109399,F,
126109477,F,
126109479,F,
126109507,F,
126109523,F,
126109535,F,
126109883,F,
126109885,F,
126109901,F,
126109913,F,
126109921,F,
126109925,F,
126109927,F,
126109929,F,
126109971,F,
126109977,F,
126109979,F,
126110275,F,
126110283,F,
126110287,F,
126110293,F,
126110295,F,
126110303,F,
126110329,F,
126110335,F,
126110347,F,
126110349,F,
126110351,F,
126110375,F,
126110377,F,
126110437,F,
126110445,F,
126110583,F,
126110589,F,
126110615,F,
126110637,M,
126110649,M,
126110761,M,
126110773,F,
126110889,F,
126111019,F,
126111739,F,
126111741,F,
126111743,F,
126111751,F,
126111753,F,
126111757,F,
126111759,F,
126111763,F,
126111767,F,
126111771,F,
126111777,F,
126111787,F,
126111805,F,
126111811,F,
126111813,F,
126111827,F,
126111843,F,
126111847,F,
126112031,F,
126112735,F,
126112737,F,
126112745,F,
126112747,F,
126112749,F,
126112767,F,
126112773,F,
126112779,F,
126112787,F,
126112791,F,
126112801,F,
126112869,F,
126113009,F,
126113795,F,
126113797,F,
126113799,F,
126113805,F,
126113813,F,
126113817,F,
126113821,F,
126113823,F,
126113833,F,
126113841,F,
126113843,F,
126113849,F,
126113851,F,
126113859,F,
126113861,F,
126113863,F,
126113879,F,
126113881,F,
126113935,F,
127184119,M,
127184126,F,
127184127,F,
127184131,F,
127184132,F,
127184135,F,
127184137,M,
127184138,F,
127184188,M,
127184191,F,
127184192,F,
127184199,F,
127184731,F,
127184735,F,
127184738,F,
140161369,F,
140161378,F,
140163333,M,
140163343,F,
140163345,M (corrected),"Was ""known female"", but came back Male on 2 PCRs (from same DNA extraction) 2023 and partner with known and confirmed female."
140163346,M,
140163350,M,
140163351,F,
140163352,F,
140163353,F,
140163355,F,
140163357,F,
140163358,F,
140163360,F,
140163361,F,
140163371,F,
140163373,F,
140163384,F,
140163393,M,
140163396,F,
140163398,F,
140163402,F,
140163405,F,
140163406,F,
140163407,M,
140163411,M,
140163413,F,
140163420,F,
140163422,F,
140163423,F,
140163425,F,
140163427,F,
140163429,F,
140163433,F,
140163436,F,
140163437,F,
140163438,F,
140163451,F,
140163453,F,
140163454,M,
140163456,F,
140163457,M,
140163458,F,
140163459,M,
140163496,M,
140167002,F,
140167009,F,
140167011,F,
140167014,F,
140167017,M,
140167025,F,
140167026,F,
140167027,M,
140167031,M,
140167042,F,
140167061,M,
140167063,F,
140167065,M,
140167072,F,
140167078,F,
140167079,F,
140167082,F,
140167085,F,
140167087,F,
140167088,F,
140167089,M,
140167098,F,
140167101,F,
140167103,F,
140167106,F,
140167108,M,
140173748,M,
140173775,M,
140173777,M,
140173778,M,
140173781,M,
140173782,F,
140174045,F,
140174047,M,
140174049,M,
140174051,F,
140174059,F,
140174061,M,
140174068,M,
140174092,M,
140174103,F,
140174104,M,
140174106,M,
140174107,M,
140174110,M,
140174133,M,
140176065,M,
140176131,F,
140176351,F,
140176353,F,
140176357,F,
140176359,F,
140176361,F,
140176363,F,
140176365,F,
140176367,M,
140176371,M,
140176373,F,
140176377,F,
140176383,F,
140176387,M,
140176389,M,
140176395,M,
140176396,M,
140176399,F,
140179503,M,
140179505,F,
140179511,F,
140179513,F,
140179515,M,
140179521,M,
140179522,M,
140179523,F,
140179527,F,
140179529,F,
140179531,M,
140179533,F,
140179535,M,
140179537,M,
140179545,M,
140179547,M,
140179557,F,
140179559,F,
140179563,M,
140179569,F,
140179573,F,
140179575,M,
140179577,F,
140179579,F,
140179581,F,
140179583,F,
140179587,M,
140179589,M,
140179591,M,
140179840,F,
140179842,F,
140180015,M,
140180016,M,
140180017,F,
140180017,M,
140180019,F,
140180021,M,
140180027,F,
140180029,F,
140180031,M,
140180035,M,
140180039,F,
140180041,F,
140180043,F,
140180045,F,
140180047,M,
140180049,F,
140180051,F,
140180055,M,
140180057,F,
140180059,F,
140180061,M,
140180065,F,
140180067,M,
140180069,M,
140180075,M,
140180077,F,
140180077,M,
140180080,M,
140180082,F,
140180085,M,
140180087,F,
140180089,F,
140180091,F,
140180093,M,
140180095,M,
140180097,F,
140180170,F,
140180171,F,
140180186,M,
140180188,M,
140180190,F,
140180193,F,
140180196,F,
140180251,F,
140180255,M,
140180257,F,
140180259,M,
140180261,F,
140180265,F,
140180266,F,
140180267,F,
140180269,F,
140180271,F,
140180273,M,
140180277,F,
140180279,F,
140180281,F,
140180283,M,
140180287,M,
140180289,M,
140180291,F,
140180297,F,
140180350,F,
140180353,F,
140180355,M,
140180357,F,
140180359,F,
140180361,M,
140180363,F,
140180367,F,
140180369,F,
140180371,F,
140180373,F,
140180377,F,
140180379,F,
140180381,F,
140180383,F,
140180385,F,
140180387,M,
140180389,F,
140180395,F,
140180397,F,
140180400,M,
140180403,M,
140180405,M,
140180407,F,
140180411,F,
140180416,F,
140180417,F,
140180425,M,
140180429,F,
140180431,F,
140180433,F,
140180435,F,
140180437,F,
140180451,F,
140180453,F,
140180455,M,
140180457,M,
140180459,M,
140180461,F,
140180463,M,
140180467,F,
140180469,M,
140180473,F,
140180475,M,
140180477,M,
140180483,M,
140180485,F,
140180487,F,
140180489,F,
140180491,F,
140180493,F,
140180495,M,
140181103,F,
140181106,F,
140181110,F,
140181113,M,
140181115,F,
140181117,F,
140181125,F,
140181131,F,
140181137,F,
140181139,F,
140181141,F,
140181143,F,
140181145,F,
140181146,F,
140181151,F,
140181153,M,
140181341,F,
140181342,F,
140181347,F,
140181348,F,
140181349,F,
140181351,F,
140181353,M,
140181355,F,
140181356,F,
140181357,M,
140181359,M,
140181362,F,
140181363,F,
140181366,F,
140181367,F,
140181369,F,
140181370,M,
140181371,F,
140181373,F,
140181376,F,
140181378,F,
140181379,F,
140181380,F,
140181382,F,
140181383,F,
140181384,M,
140181385,F,
140181386,F,
140181387,M,
140181388,M,
140181389,F,
140181390,F,
140181391,F,
140181394,F,
140181398,F,
140181399,M,
140181551,F,
140181552,F,
140181554,F,
140181555,M,
140181556,M,
140181557,F,
140181558,F,
140181559,F,
140181560,F,
140181561,F,
140181563,F,
140181564,F,
140181565,F,
140181565,M,
140181567,F,
140181568,M,
140181658,M,
140181674,M,
140181682,M,
140181683,F,
140181684,M,
140181685,M,
140181687,F,
140181689,F,
140181691,F,
140181692,F,
140181878,F,
140181879,M,
140181882,F,
140181889,F,
140181914,M,
140181953,M,
140181955,F,
140181957,Probable Male (corrected),"Previously ""known female"", but partner came back female on 2 PCRs in 2023."
140181958,F,
140181959,F,
140181961,M,
140181962,F,
140181967,F,
140181968,F,
140181970,M,
140480473,F,
170111294,F,
240109036,M,
246108703,F,
246108707,F,
246108709,F,
246108710,F,
246108711,F,
246108712,F,
246108715,F,
246108717,F,
246108724,F,
246108794,F,
246108796,F,
246108797,M,
246108806,M,
246108820,F,
246108821,M,
246108823,F,
246108828,F,
246108829,F,
246108831,M,
246108832,F,
246108834,F,
246108836,F,
246108837,F,
246108841,F,
246108843,F,
246108909,F,
246109026,F,
246109045,M,
246109056,F,
246109140,F,
246109142,M,
246109146,F,
246109153,M,
246109154,F,
246109156,M,
246109157,M,
246109161,M,
246109167,F,
246109176,M,
246109179,F,
246109181,M,
246109188,F,
246109275,M,
246109279,M,
246109284,M,
246109286,F,
246109302,M,
246109325,M,
246109326,M,
246109381,M,
246109383,M,
246109385,M,
246109388,M,
246109390,F,
246109391,F,
246109392,M,
246109393,F,
246109394,M,
246109395,F,
246109397,F,
246109399,F,
246109400,M,
246109401,M,
246109402,M,
246109439,M,
246109440,M,
246109442,M,
246109444,F,
246109446,M,
246109447,M,
246109448,M,
246109449,M,
246109451,M,
246109452,M,
246110575,M,
246110576,F,
246110577,M,
246110578,M,
246110582,F,
246110585,M,
246110587,F,
246110588,F,
246110589,M,
246110590,F,
246110591,M,
246110592,F,
246110594,F,
246110595,M,
246110598,M,
246110601,F,
248119286,F,
264108704,M,
264108823,F,
790110421,F,
790110422,F,
790110424,M,
790110426,F,
790110427,F,
790110428,M,
790110429,F,
790110430,F,
790110431,F,
790110433,F,
790110434,F,
790110435,F,
790110436,M,
790110438,F,
790110440,F,
790110441,M,
790110443,M,
790110445,F,
790110446,F,
790110447,F,
790110452,M (corrected),"Was ""known female"", but came back male on 1 PCR in 2023 and female came back female on 2 PCRs in 2023."
790110454,M,
790110457,F,
790110458,F,
790110459,F,
790110460,F,
790110461,F,
790110462,F,
790110463,M,
790110464,F,
790110465,F,
790110466,F,
790110498,F,
790110499,F,
790110500,F,
790110501,F,
790110502,F,
790110503,M,
790110504,M,
790110505,M,
790110506,F,
790110507,F,
790110508,M,
790110509,M,
790110510,M,
790110511,F,
790110512,M,
790110513,F,
790110514,M,
790110515,M,
790110516,M,
790110517,M,
790110518,M,
790110519,F,
790110520,M,
790110521,F,
790110523,M,
790110525,M,
790110526,M,
790110527,F,
790110528,F,
790110532,F,
790110534,F,
790110536,F,
790110538,F,
790110539,F,
790110540,M,
790110542,M,
790110783,F,
790110879,F,
790110880,F,
790110881,M,
790110885,F,
790110890,F,
790110892,M,
790110893,F,
790110896,F,
790111005,F,
790111006,M,
790111011,M,
790111029,M,
790111036,F,
790111038,F,
790111044,M,
790111045,F,
790111050,M,
790111053,F,
790111055,F,
790111056,M,
790111059,F,
790111061,F,
790111063,F,
790111064,F,
790111067,F,
790111068,F,
790111070,M,
790111071,F,
790111075,M,
790111078,M,
790111079,F,
790111086,F,
790111089,M,
790111092,F,
790111093,F,
790111095,F,
790111098,M,
790111099,F,
790111247,F,
790111249,F,
790111253,M,
790111257,F,
790111259,F,
790111265,F,
790111294,F,
790111302,F,
790111304,F,
790111308,F,
790111310,F,
790111313,M,
790111314,F,
790111315,F,
790111316,F,
790111317,F,
790111318,F,
790111320,M,
790111321,F,
790111323,F,
790111325,F,
790111326,F,
790111329,F,
790111366,F,
790111368,M,
790111371,F,
790111376,M,
790111377,F,
790111378,M,
790111381,M,
790111383,M,
790111384,M,
790111385,F,
790111390,M,
790111391,F,
790111392,F,
790111393,F,
790111395,M,
790111400,F,
790111484,M,
790111488,F,
790111490,F,
790111491,F,
790111493,F,
790111494,F,
790111494,M,
790118604,F,
790118605,F,
790118659,F,
790118661,F,
790118666,M,
790118667,F,
790118668,F,
790118670,F,
790118671,M,
790118672,F,
790118674,F,
790118675,F,
790118677,M,
790118680,F,
790118682,M,
790118685,M,
790118687,F,
790118688,F,
790118690,F,
790118691,F,
790118692,F,
790118694,F,
790118695,F,
790118697,F,
790118698,F,
790118699,F,
790118758,F,
790118759,F,
790118763,F,
790118770,F,
790118775,F,
790118778,F,
790118779,F,
790118780,F,
790118786,F,
790118787,F,
790118789,M,
790118790,M,
790118791,M,
790118793,F,
790118795,F,
790118797,F,
790118805,F,
790118806,M,
790118807,F,
790118809,F,
790118813,F,
790118814,M,
790118823,M,
790118831,M,
790118832,F,
790118833,F,
790118850,F,
790118862,F,
790118874,F,
790118878,F,
790118881,M,
790118883,M,
790118884,F,
790118886,F,
790118895,F,
790118896,F,
790118897,F,
790118898,F,
790118900,F,
246110524,F,2023 PCR
246109189,M,2023 PCR
246109498,M,2023 PCR
140163381,M,2023 PCR
308102511,F,2023 PCR
246109029,F,2023 PCR
246109481,M,2023 PCR
140167058,M,2023 PCR
308102528,F,2023 PCR
308102533,F,2023 PCR
246108826,M,2023 PCR
246110548,F,2023 PCR
246110557,M,2023 PCR
246109488,M,2023 PCR
308102519,M,2023 PCR
246110540,F,2023 PCR
308102509,F,2023 PCR
246110554,F,2023 PCR
140167059,M,2023 PCR
140163376,M,2023 PCR
308102502,M,2023 PCR
246109455,F,2023 PCR
246109308,M,2023 PCR
246108706,M,2023 PCR
246110511,F,2023 PCR
246108721,F,2023 PCR
246110571,F,2023 PCR
246109454,F,2023 PCR
246109309,M,2023 PCR
140163385,M,2023 PCR
140163391,F,2023 PCR
246110559,F,2023 PCR
246108907,M,2023 PCR
308102508,F,2023 PCR
246109183,M,2023 PCR
790111272,M,2023 PCR
308102526,M,2023 PCR
140163454,M,2023 PCR
246109461,F,2023 PCR
308102523,M,2023 PCR
140163497,M,2023 PCR
246109162,M,2023 PCR
246110552,F,2023 PCR
246109184,M,2023 PCR
308102506,F,2023 PCR
246109465,F,2023 PCR
246108704,M,2023 PCR
140163421,M,2023 PCR
246110570,F,2023 PCR
140167043,M,2023 PCR
308102522,M,2023 PCR
246109494,F,2023 PCR
140181869,M,2023 PCR
246109478,F,2023 PCR
308102527,F,2023 PCR
246109042,F ,2023 PCR
790118664,M,2023 PCR
308102525,F,2023 PCR
246109044,M,2023 PCR
246109312,M,2023 PCR
308102505,M,2023 PCR
246109327,M,2023 PCR
140167012,M,2023 PCR
246109185,F,2023 PCR
308102520,M,2023 PCR
246109318,F,2023 PCR
246110527,Probable F,Partner M on 2023 PCR
246109460,Probable F,Partner M on 2023 PCR
140163368,Probable M,Partner F on 2023 PCR
246110508,Probable F,Partner M on 2023 PCR
308102535,Probable F,Partner M on 2023 PCR
140163498,Probable M,Partner F on 2023 PCR
140163354,Probable F,Partner M on 2023 PCR
246109155,Probable F,Partner M on 2023 PCR
246109307,Probable M,Partner F on 2023 PCR
308102516,Probable F,Partner M on 2023 PCR
140163492,Probable F,Partner M on 2023 PCR
246109314,Probable F,Partner M on 2023 PCR
246110567,Probable F,Partner M on 2023 PCR
140167001,Probable M,Partner F on 2023 PCR
308102514,Probable F,Partner M on 2023 PCR
246110564,Probable M,Partner F on 2023 PCR
246108952,Probable F,Partner M on 2023 PCR
246109463,Probable F,Partner M on 2023 PCR
308102529,Probable F,Partner M on 2023 PCR
308102534,Probable F,Partner M on 2023 PCR
246109315,Probable M,Partner F on 2023 PCR
246110509,Probable M,Partner F on 2023 PCR
308102532,Probable M,Partner F on 2023 PCR
246109311,Probable F,Partner M on 2023 PCR and known M
246110513,Probable F,Partner M on 2023 PCR
308102524,Probable F,Partner M on 2023 PCR
246109172,Probable F,Partner M on 2023 PCR
308102531,Probable F,Partner M on 2023 PCR
140167062,Probable M,Partner F in historic data
246109078,Probable F,Partner M in historic data
246109036,Probable M,Partner F in historic data
246110561,Probable F,Partner M in historic data
246110515,Probable M,Partner F in historic data
246110516,Probable F,Partner M in historic data
308102560,Probable F,Partner M in historic data
246110519,Probable F,Partner M in historic data
246110539,Probable M,Partner F in historic data
246109453,Probable M,Partner F in historic data
308102515,Probable F,Partner M in historic data
246110569,Probable F,Partner M in historic data
140163372,Probable F,Partner M in historic data
790111303,Probable M,Partner F in historic data
246109058,Probable F,Partner M in historic data
246108830,Probable M,Partner F in historic data
